Biotic (Y/N),fCO2,fCO,fH2,fCH4,fO2,fO3,fN2,fH2O,Pressure (bar),Stellar Mass,,Temp,Reference/Notes,,,
Y,1.00E-02,1.57E-06,,1.97E-04,5.00E-02,2.74E-09,9.37E-01,2.69E-03,1,0.75,,266.1,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.05E-06,,1.30E-04,5.00E-03,1.12E-09,9.82E-01,2.48E-03,1,0.75,,265.2,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,9.25E-07,,1.04E-04,5.00E-04,7.69E-10,9.87E-01,2.46E-03,1,0.75,,265.1,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,5.77E-07,,4.53E-05,1.00E-01,5.07E-09,8.86E-01,3.65E-03,1,0.65,,269.7,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,7.25E-07,,6.97E-05,1.00E-02,2.09E-09,9.76E-01,3.58E-03,1,0.65,,269.5,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,6.99E-07,,7.01E-05,1.00E-03,1.17E-09,9.85E-01,3.51E-03,1,0.65,,269.2,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.65E-06,,1.17E-04,1.00E-04,9.45E-10,9.86E-01,3.69E-03,1,0.65,,269.9,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,4.35E-07,,3.27E-05,2.10E-01,6.52E-09,7.76E-01,3.58E-03,1,0.65,,269.5,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,6.40E-07,,5.31E-05,5.00E-02,3.92E-09,9.36E-01,3.69E-03,1,0.65,,269.8,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,9.89E-07,,7.74E-05,5.00E-03,2.12E-09,9.81E-01,4.27E-03,1,0.65,,271.6,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.12E-06,,8.04E-05,5.00E-04,1.34E-09,9.85E-01,4.37E-03,1,0.65,,271.9,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,7.23E-06,,7.88E-04,1.00E-01,4.39E-09,8.84E-01,5.13E-03,1,0.65,,273.8,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,4.86E-06,,5.91E-04,1.00E-02,1.66E-09,9.75E-01,4.66E-03,1,0.65,,272.6,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,3.81E-06,,4.42E-04,1.00E-03,7.51E-10,9.84E-01,4.52E-03,1,0.65,,272.3,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,9.95E-05,,1.27E-03,1.00E-04,9.21E-10,9.85E-01,3.31E-03,1,0.65,,268.5,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,7.78E-06,,8.13E-04,2.10E-01,5.66E-09,7.74E-01,5.07E-03,1,0.65,,273.6,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,6.46E-06,,7.51E-04,5.00E-02,3.19E-09,9.34E-01,4.84E-03,1,0.65,,273.1,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,4.38E-06,,5.37E-04,5.00E-03,1.29E-09,9.80E-01,4.60E-03,1,0.65,,272.5,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.00E-04,,1.29E-03,5.00E-04,1.42E-09,9.84E-01,3.73E-03,1,0.65,,270,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,2.80E-06,,2.67E-04,1.00E-01,4.92E-09,8.85E-01,4.51E-03,1,0.65,,272.3,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,2.08E-06,,2.44E-04,1.00E-02,1.93E-09,9.76E-01,4.21E-03,1,0.65,,271.4,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.73E-06,,1.88E-04,1.00E-03,1.09E-09,9.84E-01,4.55E-03,1,0.65,,272.4,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.45E-04,,1.11E-03,1.00E-04,8.50E-10,9.86E-01,2.99E-03,1,0.65,,267.4,Giada N. Arney 2019 ApJL,,,
